id,Name,Mon,Tues,Weds,Thurs,Fri,Sat,Sun,Address_1,Address_2,Address_3,Address_4,Address_5,Postcode,Tel,type,part_of
3639048,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Millfield House,99-109 Norton Road,,Stockton On Tees,County Durham,TS18 2BG,01642 674 377,funerals,The Co-operative Group
3639049,The Co-operative Funeralcare,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,By Appointment,By Appointment,Cedar Cottage,7 Front Street,,Sedgefield,County Durham,TS21 2AJ,01740 621 652,funerals,The Co-operative Group
3639050,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,Lustrum Cottage,61 Station Road,,Billingham,Stockton On Tees,TS23 1AE,01642 550 737,funerals,The Co-operative Group
3639051,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Strathmore House,10 Stockton Road,,Hartlepool,County Durham,TS25 1TY,01429 274 077,funerals,The Co-operative Group
3639052,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,1 Norfolk Place,Berwick Hills,,Middlesbrough,Cleveland,TS3 7PB,01642 211 814,funerals,The Co-operative Group
3639053,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Memorial House,398 Linthorpe Road,,Middlesbrough,Cleveland,TS5 6HF,01642 828 301,funerals,The Co-operative Group
3639054,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,39 The Parade,Staines Road West,,Sunbury-On-Thames,Middlesex,TW16 7AB,01932 780 287,funerals,The Co-operative Group
3639055,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,58 High Street,Whitton,,Twickenham,Middlesex,TW2 7LT,020 8894 6792,funerals,The Co-operative Group
3639056,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,35 Bath Road,,,Hounslow,Middlesex,TW3 3BN,020 8570 4741,funerals,The Co-operative Group
3639057,The Co-operative Funeralcare,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,By Appointment,By Appointment,940-942 Uxbridge Road,,,Hayes,Middlesex,UB4 0RL,020 8573 0503,funerals,The Co-operative Group
3639058,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,451 Harrow Road,,,North Kensington,London,W10 4RG,020 8969 6260,funerals,The Co-operative Group
3639059,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,86 Old Oak Common Lane,,,East Acton,London,W3 7DA,0208 740 5776,funerals,The Co-operative Group
3639060,The Co-operative Funeralcare (Inc. Frederick W. Paine),09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,468 Chiswick High Road,,,Chiswick,London,W4 5TT,020 8994 0056,funerals,The Co-operative Group
3639061,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,107 Pitshanger Lane,Ealing,,London,Middlesex,W5 1RH,020 8998 2934,funerals,The Co-operative Group
3639062,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,162 King Street,Hammersmith,,London,Middlesex,W6 0QU,020 8748 2982,funerals,The Co-operative Group
3639063,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,127 Fulham Palace Road,,,Hammersmith,London,W6 8JA,020 8748 3185,funerals,The Co-operative Group
3639064,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,3/5 Eccleston Street,,,St. Helens,Merseyside,WA10 2PF,01744 236 75,funerals,The Co-operative Group
3639065,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Earls House,238 Crow Lane East,,Newton-Le-Willows,Merseyside,WA12 9UA,01925 226 257,funerals,The Co-operative Group
3639066,The Co-operative Funeralcare,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,By Appointment,By Appointment,186 Manchester Road,,,Altrincham,Cheshire,WA14 5LD,0161 928 2410,funerals,The Co-operative Group
3639067,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Bewsey Road,,,Warrington,Cheshire,WA2 7LW,01925 445 555,funerals,The Co-operative Group
3639068,The Co-operative Funeralcare,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,By Appointment,By Appointment,63 London Road,,,Stockton Heath,Cheshire,WA4 6SG,01925 262 000,funerals,The Co-operative Group
3639069,The Co-operative Funeralcare,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,By Appointment,By Appointment,4 Church Street,,,Runcorn,Cheshire,WA7 1LT,01928 569 157,funerals,The Co-operative Group
3639070,The Co-operative Funeralcare,"09:00 - 13:00, 14:00 - 17:00","09:00 - 13:00, 14:00 - 17:00","09:00 - 13:00, 14:00 - 17:00","09:00 - 13:00, 14:00 - 17:00","09:00 - 13:00, 14:00 - 17:00",By Appointment,By Appointment,104 Albert Road,,,Widnes,Cheshire,WA8 6LG,0151 423 5621,funerals,The Co-operative Group
3639071,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,251 Lower High Street,,,Watford,Hertfordshire,WD17 2HN,01923 223 995,funerals,The Co-operative Group
3639072,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,15 St. Andrews Road,South Oxhey,,Watford,Hertfordshire,WD19 7AD,020 8421 5739,funerals,The Co-operative Group
3639073,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,150 St. Albans Road,,,Watford,Hertfordshire,WD24 4FT,01923 241 499,funerals,The Co-operative Group
3639074,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,93 North Approach,Kingswood,,Watford,Hertfordshire,WD25 0EL,01923 893 622,funerals,The Co-operative Group
3639075,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,146 New Road,Croxley Green,,Rickmansworth,Hertfordshire,WD3 3ER,01923 776 625,funerals,The Co-operative Group
3639076,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,60-62 Shenley Road,,,Borehamwood,Hertfordshire,WD6 1DS,020 8207 1939,funerals,The Co-operative Group
3639077,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Park View House,Westgate,,Heckmondwike,West Yorkshire,WF16 0EH,01924 401 143,funerals,The Co-operative Group
3639078,The Co-operative Funeralcare (Inc. Joseph M. Farrar),10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,By Appointment,By Appointment,521 Bradford Road,,,Batley,West Yorkshire,WF17 8LL,01924 444 803,funerals,The Co-operative Group
3639079,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,Salters Row,The Wool Market,,Pontefract,West Yorkshire,WF8 1AZ,01977 703 222,funerals,The Co-operative Group
3639080,The Co-operative Funeralcare,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,By Appointment,By Appointment,59 Barnsley Road,Hemsworth,,Pontefract,West Yorkshire,WF9 4QZ,01977 615 693,funerals,The Co-operative Group
3639081,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,6-8 Wigan Road,Hindley,,Wigan,Lancashire,WN2 3BE,01942 253 069,funerals,The Co-operative Group
3639082,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,"2B, The Gerard Centre",Ashton In Makerfield,,Wigan,Lancashire,WN4 9AN,01942 727 159,funerals,The Co-operative Group
3639083,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,788-790 Ormskirk Road,Pemberton,,Wigan,Lancashire,WN5 8AX,01942 213 374,funerals,The Co-operative Group
3639084,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,100 High Street,Standish,,Wigan,Lancashire,WN6 0HG,01257 425 447,funerals,The Co-operative Group
3639085,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,37-39 Kirkhall Lane,,,Leigh,Lancashire,WN7 1SA,01942 608 571,funerals,The Co-operative Group
3639086,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,17 Lowesmoor,,,Worcester,Worcestershire,WR1 2RS,01905 221 37,funerals,The Co-operative Group
3639087,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,30 Swan Lane,,,Evesham,Worcestershire,WR11 4PD,01386 446 188,funerals,The Co-operative Group
3639088,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,105 Barnards Green Road,,,Malvern,Worcestershire,WR14 3LT,01684 574 733,funerals,The Co-operative Group
3639089,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,Cromwell Road,,,York,North Yorkshire,YO1 6DU,01904 643 936,funerals,The Co-operative Group
3639090,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,59 St John Street,,,Bridlington,East Yorkshire,YO16 7NN,01262 678 329,funerals,The Co-operative Group
3639091,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Well Close Haven,Well Close Square,,Whitby,North Yorkshire,YO21 3AP,01947 602 076,funerals,The Co-operative Group
3639092,The Co-operative Funeralcare,10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,By Appointment,By Appointment,53 Gale Lane,Acomb,,York,North Yorkshire,YO24 3AD,01904 792 893,funerals,The Co-operative Group
3639093,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,2-4 Spencer Centre,Mill Street,,Driffield,East Yorkshire,YO25 6TN,01377 253 871,funerals,The Co-operative Group
3639094,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,20 East Parade,Heworth,,York,North Yorkshire,YO31 7YJ,01904 438 701,funerals,The Co-operative Group
3639095,The Co-operative Funeralcare,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,By Appointment,By Appointment,8 Ryedale Court,The Village,,Haxby,York,YO32 3SA,01904 760 086,funerals,The Co-operative Group
3639096,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,42 Flaxley Road,,,Selby,North Yorkshire,YO8 4BG,01757 290 853,funerals,The Co-operative Group
3639099,The Co-operative Pharmacy -London Colney - High Street,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:00,Closed,295 High Street,London Colney,Hertfordshire,,England,AL21EJ,01727 823697,pharmacy,Bestway Panacea Holdings Ltd
3639100,The Co-operative Pharmacy -Handsworth Wood - Church Lane,08:15-18:30,08:15-18:30,08:15-18:30,08:15-18:30,08:15-18:30,Closed,Closed,110 Church Lane,Handsworth Wood,Birmingham,,England,B202ES,0121 554 0808,pharmacy,Bestway Panacea Holdings Ltd
3639101,The Co-operative Pharmacy -Yardley - Church Road,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-14:00,Closed,159 Church Road,Yardley,Birmingham,,England,B258UP,0121 783 2316,pharmacy,Bestway Panacea Holdings Ltd
3639102,The Co-operative Pharmacy -Acocks Green - Olton Boulevard East,09:00-18:30,09:00-18:30,09:00-13:00,09:00-18:30,09:00-18:30,Closed,Closed,9 Olton Boulevard East,Acocks Green,Birmingham,,England,B277RR,0121 604 4600,pharmacy,Bestway Panacea Holdings Ltd
3639103,The Co-operative Pharmacy -Hall Green - Stratford Road Hc,08:15-18:45,08:15-18:45,08:15-16:30,08:15-18:45,08:15-18:45,Closed,Closed,979 Stratford Road,Hall Green,Birmingham,,England,B288BG,0121 777 3987,pharmacy,Bestway Panacea Holdings Ltd
3639104,The Co-operative Pharmacy -Shard End - Shard End Crescent,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,09:00-14:00,Closed,162 Shard End Crescent,Shard End,Birmingham,,England,B347BP,0121 747 4585,pharmacy,Bestway Panacea Holdings Ltd
3639105,The Co-operative Pharmacy -Tower Hill - Walsall Road,09:00-18:30,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:30,09:00-17:00,Closed,604 Walsall Road,Tower Hill,Great Barr,,England,B421EZ,0121 357 9536,pharmacy,Bestway Panacea Holdings Ltd
3639106,The Co-operative Pharmacy -Scott Arms - Walsall Road,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,09:00-17:00,Closed,938-940 Walsall Road,Scott Arms Shopping Centre,Great Barr,,England,B421TQ,0121 357 2255,pharmacy,Bestway Panacea Holdings Ltd
3639107,The Co-operative Pharmacy -Cradlley - Windmill Hill,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,Closed,Closed,18 Windmill Hill,Halesowen,West Midlands,,England,B632DB,01384 569 394,pharmacy,Bestway Panacea Holdings Ltd
3639108,The Co-operative Pharmacy -West Bromwich - Hill Top,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:00,09:00-18:30,Closed,Closed,86 Hill Top West,West Bromwich,Birmingham,,England,B700RT,0121 556 1665,pharmacy,Bestway Panacea Holdings Ltd
3639109,The Co-operative Pharmacy -Tamworth - Church Street,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,Closed,1-5 Church Street,Tamworth,Staffordshire,,England,B797DH,01827 62 201,pharmacy,Bestway Panacea Holdings Ltd
3639110,The Co-operative Pharmacy -Warminster - Cornmarket,08:45-17:30,08:45-17:30,08:45-17:30,08:45-17:30,08:45-17:30,09:00-17:00,Closed,10 Cornmarket,Warminster,Wiltshire,,England,BA129BX,01985 213 167,pharmacy,Bestway Panacea Holdings Ltd
3639111,The Co-operative Pharmacy -Fairfield Park - Claremont Terrace,09:00-18:00 Closed13:00-14:00,09:00-18:00 Closed 13:00-14:00,09:00-18:00 Closed 13:00-14:00,09:00-18:00 Closed 13:00-14:00,09:00-18:00 Closed 13:00-14:00,09:00-13:00,Closed,3 Claremont Terrace,Fairfield Park,"Bath, Somerset",,England,BA16EH,01225 319 445,pharmacy,Bestway Panacea Holdings Ltd
3639112,The Co-operative Pharmacy -Yeovil - St John's Road,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:00,Closed,67 St. John's Road,Yeovil,Somerset,,England,BA215NJ,01935 421768,pharmacy,Bestway Panacea Holdings Ltd
3639113,The Co-operative Pharmacy -Burnley - Browhead Road,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,Closed,Closed,4 Browhead Road,Burnley,Lancashire,,England,BB103BF,01282 424 695,pharmacy,Bestway Panacea Holdings Ltd
3639114,The Co-operative Pharmacy -Blackburn - Audley Range,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,Closed,Closed,Unit 4,Audley Shopping Centre,"Audley Range, Blackburn",,England,BB11TG,01254 263 069,pharmacy,Bestway Panacea Holdings Ltd
3639115,The Co-operative Pharmacy -Barnoldswick - Rainhill Road,08:45-18:00,08:45-18:00,08:45-18:00,08:45-18:00,08:45-18:00,09:00-13:00,Closed,26-30 Rainhall Road,Barnoldswick,Lancashire,,England,BB185DR,01282 812 195,pharmacy,Bestway Panacea Holdings Ltd
3639116,The Co-operative Pharmacy -Blackburn - Oakenhurst Road,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-12:30,Closed,The Pharmacy,Oakenhurst Road,"Blackburn, Lancashire",,England,BB21SN,01254 55 983,pharmacy,Bestway Panacea Holdings Ltd
3639117,The Co-operative Pharmacy -Haslingden - Manchester Road,08:30-18:30 Closed12:30-13:00,08:30-18:30 Closed 12:30-13:00,08:30-18:30 Closed 12:30-13:00,08:30-18:30 Closed 12:30-13:00,08:30-18:30 Closed 12:30-13:00,Closed,Closed,27 Manchester Road,Haslingden,Blackburn,,England,BB45SL,01706 214 120,pharmacy,Bestway Panacea Holdings Ltd
3639118,The Co-operative Pharmacy -Waterfoot - Cowpe Road,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,07:30-18:30,08:30-12:00,Closed,"Waterfoot Health Centre, Cowpe Road",Waterfoot,"Rossendale, Lancashire",,England,BB47DN,01706 224 136,pharmacy,Bestway Panacea Holdings Ltd
3639119,The Co-operative Pharmacy -Accrington - Blackburn Road,08:45-18:00,08:45-18:00,08:45-18:00,08:45-18:00,08:45-18:00,09:00-11:00,Closed,198 Blackburn Road,Accrington,"Blackburn, Lancashire",,England,BB50AQ,01254 394 083,pharmacy,Bestway Panacea Holdings Ltd
3639120,The Co-operative Pharmacy -Accrington - Brown Street,08:30-18:00 Closed13:00-14:00,08:30-18:00 Closed 13:00-14:00,08:30-13:00,08:30-18:00 Closed 13:00-14:00,08:30-18:00 Closed 13:00-14:00,Closed,Closed,37 Brown Street,Accrington,Lancashire,,England,BB50RS,01254 394 082,pharmacy,Bestway Panacea Holdings Ltd
3639121,The Co-operative Pharmacy -Accrington - Pickup Street,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-12:30,Closed,36 Pickup Street,Clayton-Le-Moor,"Accrington, Lancashire",,England,BB55NS,01254 232 999,pharmacy,Bestway Panacea Holdings Ltd
3639122,The Co-operative Pharmacy -Colne - Market Street,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-22:00,10:00-16:00,13 Market Street,"Colne, Burnley",Lancashire,,England,BB80LJ,01282 863 726,pharmacy,Bestway Panacea Holdings Ltd
3639123,The Co-operative Pharmacy -Brierfield - Colne Road,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-12:30,Closed,10-12 Colne Road,Brierfield,Lancashire,,England,BB95PH,01282 614 650,pharmacy,Bestway Panacea Holdings Ltd
3639124,The Co-operative Pharmacy -Drighlington - Whitehall Road,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,09:00-12:30,Closed,176 Whitehall Road,Drighlington,"Bradford, West Yorkshire",,England,BD111AU,1132852306,pharmacy,Bestway Panacea Holdings Ltd
3639125,The Co-operative Pharmacy -Keighley - Scott Street,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,Closed,Closed,47 Scott Street,Keighley,West Yorkshire,,England,BD212JH,01535 609 382,pharmacy,Bestway Panacea Holdings Ltd
3639126,The Co-operative Pharmacy -St. Lukes Outpatient Dispensing Pharmacy,08:30-17:30,08:30-17:30,08:30-18:00,08:30-17:30,08:30-18:00,Closed,Closed,"Co-operative Pharmacy Outpatient Dispensary, St  Lukes Hospital","Little Horton Lane, Bradford",West Yorkshire,,England,BD50NA,1274,pharmacy,Bestway Panacea Holdings Ltd
3639127,The Co-operative Pharmacy -Bradford Royal Infirmary Outpatient Dispensing Pharmacy,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,09:00-12:30,Closed,Co-operative Pharmacy Outpatient Dispensary,"Bradford Royal Infirmary (Next To Ent), Duckworth Lane, Bradford",West Yorkshire,,England,BD96RJ,01274 491651,pharmacy,Bestway Panacea Holdings Ltd
3639128,The Co-operative Pharmacy -Swanage - Kings Road West,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,09:00-13:00,Closed,Leo Superstore,Kings Road West,Swanage,,England,BH191ER,01929 422 538,pharmacy,Bestway Panacea Holdings Ltd
3639129,The Co-operative Pharmacy -Little Lever - High Street,09:00-19:00,09:00-19:00,09:00-17:00,09:00-19:00,09:00-19:00,09:00-13:00,Closed,118 High Street,Little Lever,"Bolton, Lancs",,England,BL31LR,01204 578 202,pharmacy,Bestway Panacea Holdings Ltd
3639130,The Co-operative Pharmacy -Farnworth - Frederick Street Hc,08:30-18:00,08:30-18:00,08:30-17:30,08:30-18:00,08:30-18:00,Closed,Closed,Frederick Street,Farnworth,"Bolton, Lancashire",,England,BL49AL,01204 793488,pharmacy,Bestway Panacea Holdings Ltd
3639131,The Co-operative Pharmacy - Peavehaven - Meridian Surgery,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,09:00-18:00,10:00-16:00,"Anchor Health Centre, Meridian Surgery",Meridian Way,Peacehaven,East Sussex,England,BN10 8NF,01273 583 032,pharmacy,Bestway Panacea Holdings Ltd
3639132,The Co-operative Health And Beauty Branch,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,Closed,Co-op Superstore 1-4 Meridian Centre,Peacehaven,East Sussex,,England,BN108NF,01273 583 032,pharmacy,Bestway Panacea Holdings Ltd
3639133,The Co-operative Pharmacy -Brighton - Oxford Street,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-13:00,Closed,10 Oxford Street,Brighton,East Sussex,,England,BN14LA,01273 694107,pharmacy,Bestway Panacea Holdings Ltd
3639134,The Co-operative Pharmacy -Woodingdean - Warren Way,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,08:45-13:00,Closed,13 Warren Way,Woodingdean,"Brighton, East Sussex",,England,BN26PH,01273 304 267,pharmacy,Bestway Panacea Holdings Ltd
3639135,Hove Pharmacy - Hove - Nevill Road,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 18:00,10:00 - 16:00,Waitrose Foodstore,Nevill Road,Hove,Sussex,,BN37BZ,01273 203 752,pharmacy,Bestway Panacea Holdings Ltd
3639136,The Co-operative Pharmacy - Portslade Health Centre,08:30 - 18:30,08:30 - 18:31,08:30 - 18:32,08:30 - 18:33,08:30 - 18:34,Closed,Closed,Portslade Health Centre,Church Road,Portslade,Brighton,East Sussex,BN411LA,01273 413 865,pharmacy,Bestway Panacea Holdings Ltd
3639137,The Co-operative Pharmacy -Portslade  - Mile Oak Mc,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,09:00-13:00,Closed,Mile Oak Medical Centre,Chalky Road,"Portslade, Brighton",,England,BN412WF,01273 416 901,pharmacy,Bestway Panacea Holdings Ltd
3639138,The Co-operative Pharmacy -Swanley - Swanley Centre,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,09:00-13:00,Closed,25 Swanley Centre,Swanley,Kent,,England,BR87TG,01322 663 209,pharmacy,Bestway Panacea Holdings Ltd
3639139,The Co-operative Pharmacy -Hartcliffe - Hartcliffe Hc,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,Closed,Closed,Hartcliffe Health Centre,Hareclive Road,"Hartcliffe, Bristol",,England,BS130JP,0117 964 3627,pharmacy,Bestway Panacea Holdings Ltd
3639140,The Co-operative Pharmacy -Kingswood - High Street,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:00,Closed,"Kingswood Health Centre,",Kingswood,"Alma Road,",Bristol.,England,BS15 4EJ,0117 9673384,pharmacy,Bestway Panacea Holdings Ltd
3639141,The Co-operative Pharmacy - Kingswood - Hall Road,07:00  -  23:00,07:00  -  23:00,07:00  -  23:00,07:00  -  23:00,07:00  -  23:00,08:00  -  22:00,10:00  -  16:00,Hall Road,Kingswood,,Bristol,South Gloucestershire,BS15 8JD,0117 960 4239,pharmacy,Bestway Panacea Holdings Ltd
3639142,The Co-operative Pharmacy -Kingswood - Lodgeside Surgery Hc,09:00-18:30 Closed13:00-14:00,09:00-18:30 Closed 13:00-14:00,09:00-18:30 Closed 13:00-14:00,09:00-18:30 Closed 13:00-14:00,09:00-18:30 Closed 13:00-14:00,Closed,Closed,22A Lodgeside Avenue,Kingswood,"Bristol, Avon",,England,BS151NH,1179600969,pharmacy,Bestway Panacea Holdings Ltd
3639143,The Co-operative Pharmacy -Kingswood - High Street,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:00,Closed,"Kingswood Health Centre,","Alma Road,",Bristol.,,England,BS154EJ,0117 967 3384,pharmacy,Bestway Panacea Holdings Ltd
3639144,The Co-operative Pharmacy -Kingswood - Hall Road,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-22:00,10:00-16:00,The Co-operative Food Store,Hall Road,Bristol,,England,BS158JD,0117 960 4239,pharmacy,Bestway Panacea Holdings Ltd
3639145,The Co-operative Pharmacy -Fishponds - Lodge Causeway,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,306 Lodge Causeway,Fishponds,"Bristol, Avon",,England,BS163RD,0117 965 8446,pharmacy,Bestway Panacea Holdings Ltd
